a1	    a4	    G_theta	G_k	    U_b	    U_a	    epsilon	mia	    delta	obj1	obj2
0.100	0.100	0.100	10.000	9.000	1.000	2.701	0.396	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	1.000	2.801	0.399	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	1.000	2.900	0.402	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	1.000	3.000	0.404	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	2.000	2.003	0.373	0.080	1.000	0.000
0.100	0.100	0.100	10.000	9.000	2.000	2.103	0.373	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	2.000	2.203	0.378	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	2.000	2.302	0.382	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	2.000	2.402	0.387	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	2.000	2.502	0.390	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	2.000	2.601	0.393	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	2.000	2.701	0.396	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	2.000	2.801	0.399	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	2.000	2.900	0.402	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	2.000	3.000	0.404	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	3.000	2.003	0.373	0.080	1.000	0.000
0.100	0.100	0.100	10.000	9.000	3.000	2.103	0.373	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	3.000	2.203	0.378	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	3.000	2.302	0.382	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	3.000	2.402	0.387	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	3.000	2.502	0.390	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	3.000	2.601	0.393	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	3.000	2.701	0.396	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	3.000	2.801	0.399	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	3.000	2.900	0.402	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	3.000	3.000	0.404	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	4.000	2.003	0.373	0.080	1.000	0.000
0.100	0.100	0.100	10.000	9.000	4.000	2.103	0.373	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	4.000	2.203	0.378	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	4.000	2.302	0.382	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	4.000	2.402	0.387	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	4.000	2.502	0.390	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	4.000	2.601	0.393	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	4.000	2.701	0.396	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	4.000	2.801	0.399	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	4.000	2.900	0.402	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	4.000	3.000	0.404	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	5.000	2.003	0.373	0.080	1.000	0.000
0.100	0.100	0.100	10.000	9.000	5.000	2.103	0.373	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	5.000	2.203	0.378	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	5.000	2.302	0.382	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	5.000	2.402	0.387	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	5.000	2.502	0.390	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	5.000	2.601	0.393	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	5.000	2.701	0.396	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	5.000	2.801	0.399	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	5.000	2.900	0.402	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	5.000	3.000	0.404	0.000	1.000	0.000
0.100	0.100	0.100	10.000	9.000	6.000	2.003	0.373	0.080	1.000	0.000
0.100	0.100	0.100	10.000	9.000	6.000	2.103	0.373	0.000	1.000	0.000
